epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1028.41,1.39635,1.53313,0.02028,0.64462,0.60587,0.66573,0.33794,1.57105,1.47413,0.03466,0.000485566,0.000485566,0.000485566
43,1049.01,1.40985,1.55388,0.0207,0.65174,0.62787,0.67842,0.35458,1.56599,1.32729,0.03408,0.000466163,0.000466163,0.000466163
44,1069.67,1.39772,1.49897,0.02038,0.61631,0.62801,0.66646,0.35317,1.55338,1.39485,0.03405,0.000446819,0.000446819,0.000446819
45,1090.98,1.4004,1.46377,0.02054,0.66439,0.62137,0.68583,0.35286,1.59484,1.36035,0.03495,0.000427565,0.000427565,0.000427565
46,1111.42,1.42485,1.52728,0.02074,0.65757,0.64516,0.69566,0.35605,1.57685,1.34972,0.03499,0.00040843,0.00040843,0.00040843
47,1131.95,1.40674,1.48748,0.02066,0.67449,0.64142,0.70256,0.37168,1.5457,1.36438,0.03411,0.000389445,0.000389445,0.000389445
48,1153.49,1.37427,1.45829,0.02011,0.68471,0.6174,0.687,0.35865,1.53242,1.34771,0.03385,0.000370637,0.000370637,0.000370637
49,1174.07,1.36373,1.43608,0.0197,0.71694,0.61437,0.70128,0.36399,1.55264,1.32251,0.03406,0.000352037,0.000352037,0.000352037
50,1195.36,1.37661,1.44215,0.01984,0.68531,0.62372,0.69626,0.37394,1.52195,1.33548,0.0328,0.000333672,0.000333672,0.000333672
51,1215.76,1.37826,1.46057,0.01971,0.6668,0.66642,0.70163,0.36986,1.56277,1.31643,0.03424,0.000315572,0.000315572,0.000315572
52,1236.89,1.38997,1.43807,0.01993,0.69928,0.61201,0.69773,0.3655,1.55668,1.33036,0.0333,0.000297763,0.000297763,0.000297763
53,1257.27,1.37842,1.45186,0.0202,0.67069,0.65009,0.71792,0.3781,1.56175,1.29363,0.03441,0.000280275,0.000280275,0.000280275
54,1277.71,1.35733,1.40868,0.01947,0.6503,0.67542,0.71892,0.38974,1.50622,1.26828,0.03279,0.000263132,0.000263132,0.000263132
55,1298.07,1.35693,1.45812,0.01985,0.68966,0.63437,0.70084,0.37726,1.51969,1.30109,0.03324,0.000246363,0.000246363,0.000246363
56,1318.57,1.34151,1.40568,0.01964,0.68757,0.64686,0.7098,0.38983,1.49161,1.31327,0.03245,0.000229993,0.000229993,0.000229993
57,1338.94,1.35682,1.40799,0.01975,0.66409,0.67557,0.71778,0.38883,1.51515,1.27575,0.03273,0.000214046,0.000214046,0.000214046
58,1359.36,1.36302,1.41784,0.01921,0.69482,0.6641,0.72247,0.38898,1.5018,1.26354,0.03268,0.000198548,0.000198548,0.000198548
59,1380.27,1.3455,1.4327,0.01948,0.68005,0.65393,0.71165,0.37699,1.54448,1.2739,0.03365,0.000183523,0.000183523,0.000183523
60,1400.52,1.3542,1.40943,0.01963,0.68318,0.66818,0.72712,0.38396,1.51322,1.27762,0.033,0.000168994,0.000168994,0.000168994
61,1421.09,1.34226,1.42669,0.01975,0.67943,0.67021,0.72038,0.38407,1.51632,1.28168,0.0337,0.000154982,0.000154982,0.000154982
62,1444.91,1.34028,1.39301,0.01934,0.66481,0.65708,0.71566,0.38811,1.48296,1.28647,0.03255,0.00014151,0.00014151,0.00014151
63,1465.72,1.36226,1.41319,0.01985,0.67888,0.65099,0.71887,0.386,1.52746,1.27653,0.03338,0.000128599,0.000128599,0.000128599
64,1486.03,1.31151,1.40153,0.01905,0.66756,0.65456,0.71144,0.38562,1.49252,1.30317,0.03274,0.000116268,0.000116268,0.000116268
65,1507.02,1.35076,1.39826,0.01913,0.69146,0.65663,0.72336,0.3931,1.49416,1.27594,0.03255,0.000104537,0.000104537,0.000104537
66,1527.4,1.31386,1.35886,0.01892,0.68162,0.65142,0.72502,0.39151,1.51272,1.27489,0.03282,9.34225e-05,9.34225e-05,9.34225e-05
67,1547.92,1.32853,1.39094,0.01912,0.70075,0.64563,0.72089,0.39349,1.48003,1.30289,0.03204,8.29431e-05,8.29431e-05,8.29431e-05
68,1568.29,1.33153,1.37022,0.01868,0.69804,0.64554,0.7178,0.38688,1.50609,1.30045,0.03251,7.31145e-05,7.31145e-05,7.31145e-05
69,1589.06,1.33697,1.388,0.01914,0.68082,0.6693,0.72153,0.39239,1.49796,1.28809,0.03246,6.39518e-05,6.39518e-05,6.39518e-05
70,1609.69,1.31139,1.33093,0.01846,0.70686,0.65036,0.72096,0.3931,1.50578,1.2831,0.03257,5.54691e-05,5.54691e-05,5.54691e-05
71,1672.16,1.34323,1.20233,0.02571,0.699,0.64391,0.72061,0.38683,1.51101,1.27433,0.03308,4.76796e-05,4.76796e-05,4.76796e-05
72,1695.61,1.29635,1.13185,0.02404,0.71466,0.63632,0.72676,0.38744,1.52274,1.26227,0.03345,4.05953e-05,4.05953e-05,4.05953e-05
73,1716.19,1.28067,1.09667,0.02345,0.6802,0.66529,0.72454,0.38563,1.53213,1.25358,0.03349,3.4227e-05,3.4227e-05,3.4227e-05
74,1737.92,1.27521,1.05232,0.02324,0.6956,0.66203,0.73056,0.38958,1.52248,1.25061,0.0329,2.85847e-05,2.85847e-05,2.85847e-05
75,1758,1.2684,1.04053,0.02278,0.70899,0.65015,0.73024,0.39065,1.52096,1.26319,0.03274,2.36769e-05,2.36769e-05,2.36769e-05
76,1778.36,1.27171,1.05447,0.02349,0.69941,0.66769,0.72599,0.38907,1.5158,1.2672,0.03275,1.95113e-05,1.95113e-05,1.95113e-05
77,1798.41,1.25243,1.05996,0.02274,0.68869,0.65747,0.72622,0.38757,1.51154,1.27309,0.03268,1.60943e-05,1.60943e-05,1.60943e-05
78,1818.77,1.24833,1.04897,0.02255,0.71176,0.64509,0.72513,0.38944,1.50753,1.27121,0.03258,1.34311e-05,1.34311e-05,1.34311e-05
79,1839.58,1.24487,1.04413,0.02286,0.68743,0.67146,0.72856,0.38989,1.51569,1.26381,0.03281,1.15259e-05,1.15259e-05,1.15259e-05
80,1860.43,1.26647,1.04409,0.02303,0.70571,0.6567,0.72956,0.3896,1.5173,1.26536,0.03281,1.03816e-05,1.03816e-05,1.03816e-05
