epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0321,2.17521,16.5342,0.01959,0.81014,0.12807,0.15364,0.06646,1.8495,3.35285,0.02947,0.000237481,0.000237481,0.000237481
2,170.722,1.86376,11.1371,0.0157,0.74495,0.17414,0.18572,0.08929,1.93237,2.99275,0.03116,0.000475452,0.000475452,0.000475452
3,250.727,1.87235,7.08329,0.01589,0.70311,0.17807,0.22413,0.10382,1.92569,2.83899,0.03252,0.000713307,0.000713307,0.000713307
4,346.522,1.88773,4.82683,0.01596,0.52987,0.2454,0.234,0.09582,1.91079,2.85229,0.02857,0.000713608,0.000713608,0.000713608
5,431.071,1.85439,3.85835,0.01501,0.69057,0.27814,0.27356,0.12149,1.7594,2.809,0.02727,0.000713303,0.000713303,0.000713303
6,510.816,1.83192,3.35382,0.01502,0.54053,0.37042,0.31582,0.14364,1.84784,2.51336,0.0302,0.00071291,0.00071291,0.00071291
7,590.282,1.84071,3.10085,0.01588,0.64209,0.32751,0.33941,0.14256,1.90778,2.37,0.03067,0.000712431,0.000712431,0.000712431
