epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7358,1.61871,5.31714,0.02544,0.92057,0.03225,0.10525,0.04545,1.67221,4.45096,0.03894,0.000329412,0.000329412,0.000329412
2,83.7684,1.46563,4.11725,0.02164,0.5542,0.22668,0.23264,0.10086,1.61296,3.04265,0.03822,0.000662705,0.000662705,0.000662705
3,109.135,1.52497,3.45189,0.02295,0.5362,0.26814,0.28956,0.13703,1.49491,2.61198,0.03394,0.000995835,0.000995835,0.000995835
4,128.345,1.53644,3.00107,0.02352,0.62046,0.32722,0.35573,0.15557,1.66221,2.33522,0.03922,0.00099945,0.00099945,0.00099945
5,149.316,1.51254,2.73416,0.02309,0.5804,0.36961,0.40324,0.18385,1.60707,2.22306,0.03635,0.000999023,0.000999023,0.000999023
6,169.394,1.49237,2.49769,0.0225,0.5703,0.33985,0.38616,0.1833,1.55761,2.28156,0.03634,0.000998474,0.000998474,0.000998474
7,187.527,1.53632,2.37223,0.02326,0.37605,0.44048,0.38804,0.18156,1.51166,2.23156,0.03382,0.000997803,0.000997803,0.000997803
8,206.277,1.52602,2.27136,0.02317,0.56947,0.49752,0.48822,0.22668,1.56523,1.98661,0.0349,0.000997011,0.000997011,0.000997011
9,229.801,1.51562,2.19078,0.02246,0.56776,0.40954,0.46379,0.2166,1.62154,2.03112,0.03584,0.000996097,0.000996097,0.000996097
10,249.06,1.50106,2.09464,0.02242,0.51589,0.43699,0.49948,0.22217,1.64654,2.00277,0.03893,0.000995062,0.000995062,0.000995062
11,267.888,1.5319,2.07033,0.02285,0.46192,0.49237,0.47589,0.2292,1.66056,1.98085,0.03676,0.000993906,0.000993906,0.000993906
12,286.999,1.52408,1.9819,0.02213,0.54994,0.48995,0.52792,0.25383,1.5617,1.87176,0.03449,0.000992629,0.000992629,0.000992629
13,314.056,1.50833,1.96058,0.02234,0.54492,0.52189,0.56572,0.27908,1.57735,1.69757,0.03445,0.000991232,0.000991232,0.000991232
14,334.33,1.50548,1.95856,0.02307,0.55459,0.54873,0.57669,0.27555,1.57172,1.76922,0.03495,0.000989715,0.000989715,0.000989715
15,355.396,1.51761,1.866,0.02287,0.58558,0.5839,0.61866,0.29072,1.67878,1.6744,0.0374,0.000988079,0.000988079,0.000988079
16,374.934,1.51151,1.88983,0.0228,0.58434,0.5372,0.58076,0.27749,1.61868,1.7345,0.03706,0.000986323,0.000986323,0.000986323
17,398.795,1.50704,1.85916,0.0225,0.55281,0.53796,0.55181,0.26395,1.68625,1.79017,0.03861,0.000984449,0.000984449,0.000984449
18,419.596,1.50653,1.83915,0.02236,0.58213,0.55703,0.58055,0.29917,1.54051,1.66769,0.03481,0.000982456,0.000982456,0.000982456
19,438.53,1.52411,1.82519,0.02269,0.60884,0.58395,0.60779,0.29901,1.62622,1.59701,0.03781,0.000980345,0.000980345,0.000980345
20,459.313,1.5241,1.77781,0.02288,0.56114,0.57503,0.58368,0.27769,1.62049,1.6728,0.03797,0.000978118,0.000978118,0.000978118
21,483.824,1.51756,1.79875,0.02283,0.58056,0.53587,0.56231,0.26805,1.6246,1.73706,0.03817,0.000975773,0.000975773,0.000975773
22,503.627,1.50611,1.7925,0.02253,0.6121,0.56904,0.61281,0.29731,1.70549,1.54798,0.03801,0.000973312,0.000973312,0.000973312
23,524.186,1.51685,1.78128,0.02266,0.59491,0.56593,0.6043,0.30234,1.6161,1.669,0.0363,0.000970736,0.000970736,0.000970736
24,550.415,1.52585,1.81593,0.02296,0.59688,0.54944,0.59675,0.29792,1.61604,1.67906,0.0366,0.000968045,0.000968045,0.000968045
25,570.686,1.49505,1.77252,0.02252,0.59907,0.59993,0.62899,0.30361,1.6995,1.56612,0.03838,0.000965239,0.000965239,0.000965239
26,596.774,1.48971,1.69806,0.02201,0.59493,0.6529,0.64644,0.32076,1.6155,1.54521,0.03743,0.00096232,0.00096232,0.00096232
27,617.073,1.50277,1.71127,0.02175,0.60957,0.59166,0.65057,0.32542,1.58391,1.49309,0.0354,0.000959289,0.000959289,0.000959289
28,637.688,1.47343,1.67443,0.02203,0.60742,0.58466,0.63666,0.30907,1.65259,1.51821,0.03714,0.000956145,0.000956145,0.000956145
29,659.041,1.49046,1.71735,0.02196,0.59476,0.56987,0.59705,0.28023,1.71174,1.62308,0.0388,0.000952889,0.000952889,0.000952889
