epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3052.48,1.6458,1.95576,0.02478,0.41706,0.51484,0.46317,0.20995,1.97437,1.83864,0.0502,0.000900844,0.000900844,0.000900844
43,3116.98,1.63888,1.89984,0.02474,0.45604,0.56428,0.50563,0.22187,1.9156,1.81472,0.04695,0.000896127,0.000896127,0.000896127
44,3182.16,1.62502,1.90396,0.02585,0.48798,0.53221,0.51828,0.20362,1.98107,1.86896,0.0491,0.000891313,0.000891313,0.000891313
45,3247.29,1.64256,1.89018,0.02463,0.47922,0.51893,0.51514,0.21336,1.90494,1.8589,0.04797,0.000886404,0.000886404,0.000886404
46,3313.88,1.64159,1.9401,0.02557,0.45969,0.57659,0.50832,0.21653,1.88017,1.80628,0.04861,0.000881401,0.000881401,0.000881401
47,3378.52,1.6344,1.92691,0.02531,0.48015,0.5185,0.52372,0.22347,1.91825,1.75164,0.04736,0.000876305,0.000876305,0.000876305
48,3443.03,1.65711,1.94142,0.02613,0.49805,0.55324,0.52485,0.22164,1.92788,1.76621,0.04921,0.000871117,0.000871117,0.000871117
49,3507.81,1.60711,1.91257,0.02415,0.50347,0.58801,0.55693,0.23518,1.87409,1.77504,0.04525,0.000865839,0.000865839,0.000865839
50,3573.05,1.62778,1.90485,0.02427,0.43289,0.58026,0.50865,0.21727,1.94945,1.71117,0.0488,0.000860473,0.000860473,0.000860473
51,3636.68,1.60481,1.8879,0.0244,0.38542,0.525,0.44621,0.17527,2.02199,1.97659,0.05252,0.000855018,0.000855018,0.000855018
52,3701.33,1.6132,1.89078,0.02384,0.63884,0.45627,0.50717,0.21919,1.84664,1.87535,0.04586,0.000849477,0.000849477,0.000849477
53,3765.9,1.63176,1.8691,0.02396,0.46331,0.58518,0.5323,0.23308,1.87091,1.72165,0.04636,0.000843851,0.000843851,0.000843851
54,3831.17,1.59042,1.7928,0.02382,0.45847,0.5117,0.51399,0.21029,1.94779,1.72155,0.04792,0.000838141,0.000838141,0.000838141
55,3901.43,1.5994,1.82009,0.02409,0.52229,0.58215,0.56089,0.24241,1.95285,1.71261,0.04898,0.000832349,0.000832349,0.000832349
56,3985.7,1.59455,1.81937,0.02359,0.50383,0.62216,0.56723,0.25182,1.76051,1.67398,0.04421,0.000826477,0.000826477,0.000826477
57,4053.99,1.59758,1.83091,0.02447,0.44632,0.58924,0.54069,0.24416,1.85173,1.70219,0.0473,0.000820525,0.000820525,0.000820525
58,4124.66,1.59141,1.81898,0.02469,0.49305,0.5642,0.53923,0.23952,1.87343,1.75529,0.04682,0.000814495,0.000814495,0.000814495
59,4197.09,1.60764,1.8031,0.02403,0.56064,0.6184,0.60869,0.25569,1.88884,1.5967,0.04747,0.000808389,0.000808389,0.000808389
60,4264.44,1.60539,1.8184,0.02384,0.50411,0.56313,0.56488,0.24234,1.8884,1.73051,0.04837,0.000802208,0.000802208,0.000802208
61,4331.84,1.59718,1.80932,0.02301,0.49636,0.64392,0.59435,0.25524,1.84598,1.65722,0.04644,0.000795954,0.000795954,0.000795954
62,4400.39,1.5879,1.78151,0.0232,0.47139,0.64275,0.58309,0.27278,1.80913,1.66117,0.0447,0.000789628,0.000789628,0.000789628
63,4468.82,1.58246,1.78433,0.02381,0.50853,0.60429,0.56463,0.24659,1.8799,1.65005,0.04671,0.000783231,0.000783231,0.000783231
64,4537.04,1.57903,1.75738,0.02346,0.49455,0.62544,0.57772,0.25018,1.86991,1.60769,0.04703,0.000776766,0.000776766,0.000776766
65,4603.89,1.56884,1.80811,0.02331,0.55777,0.59304,0.59368,0.26001,1.85446,1.59982,0.04719,0.000770234,0.000770234,0.000770234
66,4671.38,1.58027,1.76533,0.02413,0.52283,0.55469,0.56978,0.24649,1.93032,1.65817,0.04859,0.000763637,0.000763637,0.000763637
67,4736.81,1.56121,1.76523,0.02296,0.47979,0.56185,0.53981,0.23613,1.94851,1.68903,0.04901,0.000756976,0.000756976,0.000756976
68,4801.31,1.59787,1.72687,0.02411,0.53799,0.5966,0.60182,0.25653,1.88387,1.61122,0.04651,0.000750252,0.000750252,0.000750252
69,4866.26,1.56721,1.70693,0.02299,0.51574,0.57021,0.58449,0.26345,1.82541,1.58403,0.04432,0.000743468,0.000743468,0.000743468
70,4932.38,1.56217,1.73937,0.02317,0.45134,0.63608,0.57452,0.25323,1.82921,1.65964,0.04391,0.000736625,0.000736625,0.000736625
71,4997.79,1.57548,1.73683,0.02305,0.47979,0.59498,0.57554,0.26241,1.81318,1.66983,0.04479,0.000729725,0.000729725,0.000729725
72,5064.47,1.53899,1.67505,0.02253,0.48323,0.61836,0.58778,0.27503,1.75618,1.62446,0.0433,0.00072277,0.00072277,0.00072277
73,5131.47,1.58065,1.74898,0.02357,0.51428,0.62367,0.5904,0.25665,1.86583,1.59577,0.04757,0.000715761,0.000715761,0.000715761
74,5196.79,1.55597,1.68372,0.02184,0.4639,0.60374,0.54001,0.25068,1.89814,1.78612,0.04679,0.0007087,0.0007087,0.0007087
75,5261.71,1.57386,1.73088,0.0232,0.55521,0.59968,0.59964,0.27561,1.80344,1.62752,0.04434,0.000701588,0.000701588,0.000701588
76,5327.8,1.52336,1.6935,0.0227,0.53424,0.60326,0.58995,0.26345,1.86264,1.61512,0.04547,0.000694428,0.000694428,0.000694428
77,5406.48,1.55372,1.71024,0.02302,0.47257,0.59207,0.58018,0.25592,1.87504,1.65335,0.04643,0.000687222,0.000687222,0.000687222
78,5471.34,1.57628,1.70591,0.02383,0.52978,0.5805,0.57832,0.2605,1.85281,1.60978,0.04784,0.00067997,0.00067997,0.00067997
79,5535.9,1.54601,1.6381,0.02231,0.50316,0.64164,0.59774,0.26529,1.84954,1.58741,0.04656,0.000672675,0.000672675,0.000672675
80,5600.4,1.54717,1.73397,0.02312,0.65248,0.52268,0.58118,0.25892,1.84845,1.62688,0.04655,0.000665339,0.000665339,0.000665339
81,5665.09,1.557,1.70562,0.02344,0.67922,0.5366,0.60759,0.28773,1.80482,1.52378,0.04427,0.000657963,0.000657963,0.000657963
82,5731.03,1.5275,1.6935,0.02229,0.51727,0.60214,0.57331,0.2654,1.80666,1.64708,0.04503,0.00065055,0.00065055,0.00065055
83,5796.41,1.53967,1.68332,0.02232,0.49966,0.61949,0.595,0.28423,1.7436,1.65788,0.04333,0.000643101,0.000643101,0.000643101
84,5861.12,1.52782,1.67526,0.02279,0.46996,0.58593,0.52904,0.2496,1.78193,1.78247,0.0451,0.000635617,0.000635617,0.000635617
