epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2796.57,1.68523,1.68265,0.01322,0.62896,0.58548,0.61398,0.30305,1.84503,1.54865,0.02702,0.000643203,0.000643203,0.000643203
43,2861.63,1.68865,1.64375,0.01315,0.58536,0.65788,0.65544,0.32424,1.81705,1.45535,0.02517,0.000639834,0.000639834,0.000639834
44,2926.36,1.67564,1.62039,0.01304,0.63602,0.57386,0.61264,0.30738,1.8364,1.54713,0.02672,0.000636398,0.000636398,0.000636398
45,2991.48,1.65293,1.65727,0.01278,0.55964,0.62159,0.61967,0.31889,1.79569,1.52593,0.02536,0.000632892,0.000632892,0.000632892
46,3056.36,1.68169,1.61008,0.013,0.63006,0.59387,0.61226,0.3228,1.80374,1.50134,0.02513,0.00062932,0.00062932,0.00062932
47,3121.15,1.70599,1.60492,0.01295,0.60536,0.59896,0.61096,0.31023,1.87182,1.51022,0.02539,0.000625682,0.000625682,0.000625682
48,3185.83,1.6587,1.59154,0.01284,0.60974,0.67531,0.63975,0.333,1.79323,1.47966,0.02506,0.000621978,0.000621978,0.000621978
49,3250.71,1.67754,1.60472,0.01313,0.6647,0.58878,0.62094,0.3245,1.78666,1.51318,0.02458,0.000618209,0.000618209,0.000618209
50,3317.57,1.68768,1.58821,0.01273,0.6627,0.61677,0.6392,0.31982,1.85214,1.44885,0.02707,0.000614377,0.000614377,0.000614377
51,3382.43,1.68929,1.58055,0.01315,0.54927,0.63173,0.60954,0.31243,1.81205,1.50994,0.02573,0.000610483,0.000610483,0.000610483
52,3447.66,1.65917,1.56799,0.01259,0.57006,0.61591,0.63585,0.3334,1.80279,1.42437,0.02468,0.000606526,0.000606526,0.000606526
53,3513.28,1.68454,1.55378,0.01304,0.62275,0.62423,0.63167,0.33428,1.77696,1.48535,0.0245,0.000602509,0.000602509,0.000602509
54,3578.49,1.65055,1.55355,0.01268,0.62256,0.64236,0.6472,0.32867,1.80554,1.47685,0.02549,0.000598433,0.000598433,0.000598433
55,3643.2,1.68137,1.53243,0.01306,0.65442,0.63146,0.65156,0.33075,1.83325,1.46255,0.02462,0.000594297,0.000594297,0.000594297
56,3708.76,1.66819,1.52422,0.01301,0.64039,0.6429,0.66464,0.34834,1.7673,1.40662,0.02416,0.000590104,0.000590104,0.000590104
57,3774.48,1.66598,1.53278,0.01304,0.60202,0.62773,0.6406,0.33366,1.79997,1.50158,0.02498,0.000585855,0.000585855,0.000585855
58,3839.81,1.65059,1.48313,0.01279,0.61859,0.63099,0.63996,0.32489,1.85633,1.4709,0.02584,0.00058155,0.00058155,0.00058155
59,3905.7,1.66074,1.56035,0.01286,0.67572,0.6043,0.67731,0.33633,1.78562,1.44462,0.02464,0.00057719,0.00057719,0.00057719
60,3970.79,1.63978,1.51683,0.01263,0.61671,0.60433,0.64435,0.3327,1.79276,1.4455,0.02472,0.000572777,0.000572777,0.000572777
61,4035.35,1.65808,1.49626,0.01251,0.58702,0.57673,0.61666,0.31888,1.76198,1.41967,0.02426,0.000568311,0.000568311,0.000568311
62,4100.66,1.64806,1.42499,0.01272,0.61625,0.61781,0.64404,0.337,1.81037,1.40669,0.02424,0.000563794,0.000563794,0.000563794
63,4166.93,1.66998,1.46013,0.01288,0.61657,0.63242,0.64226,0.32898,1.81423,1.41902,0.02519,0.000559227,0.000559227,0.000559227
64,4232.31,1.63924,1.48524,0.01288,0.61539,0.66269,0.65178,0.32523,1.79167,1.43435,0.02401,0.000554611,0.000554611,0.000554611
65,4297.62,1.66215,1.47708,0.01297,0.61644,0.60014,0.61978,0.32717,1.81376,1.49503,0.0254,0.000549947,0.000549947,0.000549947
66,4362.52,1.64548,1.47099,0.0124,0.68374,0.60107,0.66449,0.34488,1.81488,1.3699,0.02545,0.000545237,0.000545237,0.000545237
67,4427.94,1.64138,1.45986,0.01258,0.61861,0.57266,0.62109,0.30948,1.84618,1.45476,0.02491,0.000540481,0.000540481,0.000540481
68,4492.69,1.65381,1.47048,0.01293,0.68421,0.61482,0.66339,0.34322,1.79359,1.39601,0.02384,0.00053568,0.00053568,0.00053568
69,4557.64,1.63418,1.44354,0.01238,0.65574,0.65736,0.66165,0.33813,1.79556,1.4037,0.02404,0.000530836,0.000530836,0.000530836
70,4623.63,1.63943,1.41694,0.0126,0.6875,0.57704,0.63571,0.3285,1.80884,1.46893,0.02456,0.00052595,0.00052595,0.00052595
71,4689.92,1.62254,1.42678,0.01262,0.67673,0.63242,0.6659,0.34481,1.8158,1.39461,0.0249,0.000521024,0.000521024,0.000521024
72,4755.13,1.62617,1.43865,0.01228,0.62045,0.63533,0.64911,0.3362,1.80634,1.42898,0.02481,0.000516058,0.000516058,0.000516058
73,4820.13,1.63343,1.42958,0.0122,0.54292,0.6582,0.60274,0.3069,1.86874,1.4145,0.02575,0.000511053,0.000511053,0.000511053
74,4885.64,1.62591,1.40469,0.01239,0.66701,0.62749,0.65103,0.34044,1.84695,1.34109,0.0257,0.000506012,0.000506012,0.000506012
75,4950.61,1.61809,1.42705,0.01224,0.68306,0.62091,0.66115,0.34819,1.78179,1.41952,0.0243,0.000500934,0.000500934,0.000500934
76,5016.9,1.63439,1.4002,0.01251,0.65561,0.6272,0.658,0.35979,1.76564,1.34726,0.0233,0.000495822,0.000495822,0.000495822
77,5081.79,1.61589,1.36618,0.01211,0.68406,0.615,0.66117,0.35126,1.82689,1.32072,0.02482,0.000490676,0.000490676,0.000490676
78,5146.52,1.59298,1.36741,0.01213,0.61934,0.64049,0.61315,0.31974,1.83933,1.39294,0.02468,0.000485499,0.000485499,0.000485499
79,5211.63,1.61751,1.42479,0.01219,0.66822,0.61076,0.64726,0.34145,1.79812,1.40766,0.02434,0.00048029,0.00048029,0.00048029
80,5277.25,1.61492,1.3502,0.0125,0.64613,0.67866,0.67975,0.3587,1.81941,1.36741,0.02475,0.000475052,0.000475052,0.000475052
81,5342.32,1.60941,1.36357,0.01217,0.6654,0.61595,0.64625,0.33089,1.82563,1.40636,0.02496,0.000469786,0.000469786,0.000469786
82,5407.42,1.63256,1.42081,0.01223,0.59052,0.58201,0.601,0.30429,1.87558,1.50523,0.0261,0.000464493,0.000464493,0.000464493
83,5473.9,1.60068,1.32249,0.01236,0.69126,0.607,0.6628,0.34607,1.83809,1.39725,0.02501,0.000459174,0.000459174,0.000459174
